attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_HP,venue_name,weather,wind,delay_min
28616,3,mia,8/21/2016,175,201601843,2,pit,1:38 PM,Chris Conroy,PNC Park,"74 degrees, cloudy","9 mph, Out to CF",0
35833,7,mil,8/21/2016,193,201601844,6,sea,1:11 PM,Jim Joyce,Safeco Field,"66 degrees, cloudy","1 mph, Varies",0
32996,1,min,8/21/2016,145,201601845,2,kca,1:15 PM,Bill Miller,Kauffman Stadium,"79 degrees, sunny","7 mph, R to L",0
40309,0,nya,8/21/2016,159,201601846,2,ana,12:37 PM,Joe West,Angel Stadium of Anaheim,"83 degrees, partly cloudy","6 mph, R to L",0
41377,2,nyn,8/21/2016,145,201601847,0,sfn,5:08 PM,Clint Fagan,AT&T Park,"65 degrees, cloudy","14 mph, Out to CF",0
23030,2,oak,8/21/2016,162,201601848,4,cha,1:10 PM,Gerry Davis,U.S. Cellular Field,"71 degrees, partly cloudy","12 mph, Out to CF",0
20127,9,sln,8/21/2016,187,201601849,0,phi,1:38 PM,Tony Randazzo,Citizens Bank Park,"89 degrees, partly cloudy","9 mph, Out to CF",0
17685,4,tex,8/21/2016,181,201601850,8,tba,1:11 PM,Jim Wolf,Tropicana Field,"72 degrees, dome","0 mph, None",0
26696,2,tor,8/21/2016,173,201601851,3,cle,1:11 PM,Ramon De Jesus,Progressive Field,"75 degrees, partly cloudy","19 mph, Out to CF",0
25341,6,was,8/21/2016,216,201601852,7,atl,1:36 PM,Adam Hamari,Turner Field,"87 degrees, partly cloudy","9 mph, Out to CF",64
15789,8,atl,8/22/2016,198,201601853,9,ari,6:40 PM,Alfonso Marquez,Chase Field,"78 degrees, roof closed","0 mph, None",0
13576,6,bos,8/22/2016,193,201601854,2,tba,7:10 PM,Paul Nauert,Tropicana Field,"72 degrees, dome","0 mph, None",0
31707,5,chn,8/22/2016,199,201601855,1,sdn,7:10 PM,Kerwin Danley,Petco Park,"73 degrees, clear","9 mph, Out to RF",0
10114,1,cle,8/22/2016,149,201601856,0,oak,7:07 PM,Brian Gorman,Oakland Coliseum,"58 degrees, cloudy","15 mph, Out to RF",0
20458,2,col,8/22/2016,174,201601857,4,mil,6:20 PM,Vic Carapazza,Miller Park,"77 degrees, clear","7 mph, Out to CF",0
24017,3,hou,8/22/2016,137,201601858,1,pit,7:08 PM,Mike Everitt,PNC Park,"76 degrees, partly cloudy","5 mph, Out to CF",0
15690,18,lan,8/22/2016,242,201601859,9,cin,12:36 PM,Fieldin Culbreth,Great American Ball Park,"76 degrees, partly cloudy","3 mph, In from CF",0
24384,5,nya,8/22/2016,176,201601860,7,sea,7:10 PM,Cory Blaser,Safeco Field,"69 degrees, clear","4 mph, Out to RF",0
31660,3,was,8/22/2016,151,201601861,4,bal,7:07 PM,Angel Hernandez,Oriole Park at Camden Yards,"80 degrees, partly cloudy","5 mph, In from LF",0
46696,2,ana,8/23/2016,158,201601862,7,tor,7:08 PM,Adrian Johnson,Rogers Centre,"74 degrees, clear","18 mph, Out to CF",0
18780,7,atl,8/23/2016,203,201601863,4,ari,6:40 PM,Larry Vanover,Chase Field,"77 degrees, roof closed","0 mph, None",0
11249,2,bos,8/23/2016,189,201601864,1,tba,7:10 PM,Ron Kulpa,Tropicana Field,"72 degrees, dome","0 mph, None",0
33614,5,chn,8/23/2016,175,201601865,3,sdn,7:10 PM,Nic Lentz,Petco Park,"74 degrees, clear","9 mph, L to R",0
13141,1,cle,8/23/2016,163,201601866,9,oak,7:07 PM,Mark Carlson,Oakland Coliseum,"60 degrees, partly cloudy","13 mph, Out to RF",0
21460,4,col,8/23/2016,209,201601867,6,mil,7:10 PM,Paul Emmel,Miller Park,"80 degrees, clear","13 mph, In from RF",0
24379,8,det,8/23/2016,165,201601868,3,min,7:10 PM,Chris Segal,Target Field,"79 degrees, overcast","19 mph, R to L",0
28760,1,hou,8/23/2016,152,201601869,7,pit,7:07 PM,Jordan Baker,PNC Park,"81 degrees, partly cloudy","5 mph, Out to LF",0
18513,1,kca,8/23/2016,170,201601870,0,mia,7:11 PM,Chad Fairchild,Marlins Park,"80 degrees, roof closed","0 mph, None",0
24628,5,nya,8/23/2016,165,201601871,1,sea,7:10 PM,Jeff Nelson,Safeco Field,"75 degrees, clear","4 mph, Out to CF",0
40082,7,nyn,8/23/2016,192,201601872,4,sln,7:15 PM,Mike Winters,Busch Stadium,"75 degrees, cloudy","9 mph, R to L",0
18843,1,phi,8/23/2016,158,201601873,9,cha,7:10 PM,Jeff Kellogg,U.S. Cellular Field,"80 degrees, partly cloudy","4 mph, R to L",0
46899,5,sfn,8/23/2016,216,201601874,9,lan,7:10 PM,Rob Drake,Dodger Stadium,"75 degrees, clear","6 mph, Out to RF",0
16668,0,tex,8/23/2016,159,201601875,3,cin,7:10 PM,Bob Davidson,Great American Ball Park,"80 degrees, partly cloudy","4 mph, In from CF",0
26697,1,was,8/23/2016,192,201601876,8,bal,7:07 PM,Will Little,Oriole Park at Camden Yards,"78 degrees, clear","7 mph, In from CF",0
44404,8,ana,8/24/2016,201,201601877,2,tor,7:07 PM,Chad Whitson,Rogers Centre,"76 degrees, clear","11 mph, Out to CF",0
15376,9,atl,8/24/2016,286,201601878,10,ari,6:40 PM,David Rackley,Chase Field,"79 degrees, roof closed","0 mph, None",0
39100,10,bal,8/24/2016,208,201601879,8,was,7:06 PM,Ted Barrett,Nationals Park,"80 degrees, partly cloudy","7 mph, Out to LF",0
11896,3,bos,8/24/2016,221,201601880,4,tba,7:10 PM,Ryan Blakney,Tropicana Field,"72 degrees, dome","0 mph, None",0
30033,6,chn,8/24/2016,175,201601881,3,sdn,12:42 PM,Mark Ripperger,Petco Park,"80 degrees, sunny","6 mph, L to R",0
12795,1,cle,8/24/2016,157,201601882,5,oak,12:37 PM,Alan Porter,Oakland Coliseum,"62 degrees, partly cloudy","8 mph, Out to RF",0
26702,1,col,8/24/2016,181,201601883,7,mil,1:10 PM,John Hirschbeck,Miller Park,"80 degrees, cloudy","13 mph, In from RF",0
24309,9,det,8/24/2016,184,201601884,4,min,7:10 PM,CB Bucknor,Target Field,"75 degrees, overcast","13 mph, Out to RF",0
23717,5,hou,8/24/2016,176,201601885,4,pit,12:38 PM,Tim Timmons,PNC Park,"81 degrees, partly cloudy","6 mph, R to L",0
17894,0,kca,8/24/2016,155,201601886,3,mia,7:10 PM,James Hoye,Marlins Park,"77 degrees, roof closed","0 mph, None",0
